"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"八幡屋公園喫煙所","大阪市港区田中3丁目1番（八幡屋公園内）","やはたやこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.44733565918","34.6598024917905","大阪市指定喫煙所"
"久遠泰心堂喫煙所","大阪市西淀川区御幣島2丁目5番27号","くおんたいしんどうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.0平方メートル，供用時間：月曜日から日曜日（祝日含む）の9時から17時まで，喫煙所形態：屋内喫煙所","","135.455423671657","34.7128939113595","大阪市指定喫煙所"
"西淀川区姫島4丁目喫煙所","大阪市西淀川区姫島4丁目7番2号","にしよどがわくひめじま４ちょうめきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.5平方メートル，供用時間：月曜日から土曜日（祝日除く）の8時から19時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.455803582786","34.7041550427982","大阪市指定喫煙所"
"柏里公園喫煙所","大阪市西淀川区柏里3丁目（柏里公園内）","かしわざとこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.468380679335","34.7124722020033","大阪市指定喫煙所"
"パルパーク海老江駅2号出口屋外喫煙所","大阪市福島区海老江7丁目2番30号","ぱるぱーくえびええき２ごうでぐちおくがいきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.5平方メートル，供用時間：月曜日（祝日除く）から土曜日の8時から19時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.472832055399","34.69560304873","大阪市指定喫煙所"
"リッチウエル本店喫煙所","大阪市住之江区南加賀屋2丁目2番23号（リッチウエル本店内）","りっちうえるほんてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：21.25平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.473352288969","34.6085519014148","大阪市指定喫煙所"
"千島ガーデンモール駐車場喫煙所","大阪市大正区千島1丁目23番115号?（千島ガーデンモール内）","ちしまがーでんもーるちゅうしゃじょうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：9.14平方メートル，供用時間：月曜日から日曜日（祝日含む）の9時から22時まで，喫煙所形態：屋外開放型喫煙所","","135.474572797838","34.6530454292727","大阪市指定喫煙所"
"四海樓九条店（1F）喫煙所","大阪市西区九条1丁目14番22号（四海樓九条店内）","しかいろうくじょうてん（いっかい）きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.84平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.474452610343","34.6751830395265","大阪市指定喫煙所"
"THE TOBACCO JUSO","大阪市淀川区十三本町1丁目7番27号（サンポードシティ1階）","ざ　たばこ　じゅうそう","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：28.5平方メートル，供用時間：月曜日から金曜日（祝日含む）の8時から19時まで，喫煙所形態：屋内喫煙所","","135.480537153511","34.7188367147734","大阪市指定喫煙所"
"中之島センタービル　Smoking Area","大阪市北区中之島6丁目2番27号","なかのしませんたーびる　すもーきんぐえりあ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：38.5平方メートル，供用時間：月曜日から土曜日（祝日含む）の8時から18時まで，喫煙所形態：屋外開放型喫煙所","","135.484689564652","34.6868436595159","大阪市指定喫煙所"
"グランキューブ大阪公共喫煙所","大阪市北区中之島5丁目3番51号","ぐらんきゅーぶおおさかこうきょうきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：100平方メートル，供用時間：月曜日から日曜日（祝日含む）の8時から22時まで，喫煙所形態：屋外開放型喫煙所","","135.48606404243","34.6899335473146","大阪市指定喫煙所"
"うめきた公園喫煙所","大阪市北区大深町（うめきた２期地区開発事業 うめきた公園内）","うめきたこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.8平方メートル，供用時間：月曜日から日曜日（祝日含む）の6時から24時30分まで，喫煙所形態：屋外閉鎖型喫煙所","","135.491765652837","34.7035450967622","大阪市指定喫煙所"
"SORA新大阪21屋外喫煙所","大阪市淀川区西宮原2丁目1番3号（SORA新大阪21 1階）","そらしんおおさか21おくがいきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：17.3平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から24時15分まで，喫煙所形態：屋外開放型喫煙所","","135.49418428066","34.7349676338662","大阪市指定喫煙所"
"新阿波座公園喫煙所","大阪市西区阿波座1丁目（新阿波座公園内）","しんあわざこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：13.23平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.495981169442","34.681188032018","大阪市指定喫煙所"
"THE TOBACCO YOTSUBASHI","大阪市西区南堀江1丁目11番1号（三共四ツ橋ビル地下1階）","ざ　たばこ　よつばし","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：51.2平方メートル，供用時間：月曜日から金曜日（祝日含む）の7時から19時まで，喫煙所形態：屋内喫煙所","","135.496372297872","34.6723813861421","大阪市指定喫煙所"
"THE TOBACCO UMEDA","大阪市北区梅田1丁目3番1号（大阪駅前第1ビル1階）","ざ　たばこ　うめだ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：19.49平方メートル，供用時間：月曜日から金曜日（祝日含む）の9時から21時まで，喫煙所形態：屋内喫煙所","","135.496681913713","34.6989889810618","大阪市指定喫煙所"
"ARROW浪速店 休憩コーナー喫煙所","大阪市浪速区敷津東1丁目9番16号（ARROW浪速店内）","あろーなにわてん　きゅうけいこーなーきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.85平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.497992136756","34.6587631385139","大阪市指定喫煙所"
"セビルロード喫煙所","大阪市北区梅田1丁目2番2号（大阪駅前第2ビル1階）","せびるろーどきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋内喫煙所","","135.498198492892","34.698901844807","大阪市指定喫煙所"
"大阪木津地方卸売市場喫煙所（西側)","大阪市浪速区敷津東2丁目2番8号","おおさかきづちほうおろしうりしじょうきつえんじょ（にしがわ)","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：21.6平方メートル，供用時間：月曜日から日曜日（祝日含む）終日，喫煙所形態：屋外開放型喫煙所","","135.499468043447","34.6570535160287","大阪市指定喫煙所"
"ドリンクステーション大阪駅前第４ビル１F店喫煙所","大阪市北区梅田1丁目11番4号（大阪駅前第4ビル1階）","どりんくすてーしょんおおさかえきまえだい４びる１Fてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：17.27平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から19時30分まで，喫煙所形態：屋内喫煙所","","135.499295643209","34.6998751954009","大阪市指定喫煙所"
"四海樓　本店（1F）喫煙所","大阪市中央区難波4丁目2番1号（四海樓本店内）","しかいろう　ほんてん（いっかい）きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.2平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.499842962777","34.6664536023763","大阪市指定喫煙所"
"THE TOBACCO HIGASHIMIKUNI","大阪市淀川区東三国1丁目24番8号","ざ たばこ ひがしみくに","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：20.6平方メートル，供用時間：月曜日から金曜日（祝日除く）の10時から20時まで，喫煙所形態：屋内喫煙所","","135.499954714892","34.7404688763519","大阪市指定喫煙所"
"大阪木津地方卸売市場喫煙所（北側）","大阪市浪速区敷津東2丁目2番8号","おおさかきづちほうおろしうりしじょうきつえんじょ（きたがわ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：21.6平方メートル，供用時間：月曜日から日曜日（祝日含む）終日，喫煙所形態：屋外開放型喫煙所","","135.500507664328","34.6576606656891","大阪市指定喫煙所"
"大阪木津地方卸売市場喫煙所（東側）","大阪市浪速区敷津東2丁目2番8号","おおさかきづちほうおろしうりしじょうきつえんじょ（ひがしがわ）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：21.6平方メートル，供用時間：月曜日から日曜日（祝日含む）終日，喫煙所形態：屋外開放型喫煙所","","135.500668919011","34.6569232129857","大阪市指定喫煙所"
"なんばHIPS B1喫煙所","大阪市中央区難波1丁目8番16号（なんばHIPS 地下1階）","なんばひっぷす　B1きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：11.4平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.500618847136","34.6678272120118","大阪市指定喫煙所"
